Topic,Summary,Sentiment,Confidence,URL
TATA,Tata Communications to gain industry-proven platform with strong capabilities and scale.,POSITIVE,0.9997612833976746,https://finance.yahoo.com/news/tata-communications-acquire-kaleyra-leading-135000927.html
TATA,"Annual Report on Form 20-F for the fiscal year ended March 31, 2023 filed with the SEC.",NEGATIVE,0.9358001351356506,https://finance.yahoo.com/news/tata-motors-limited-files-annual-111500946.html
TATA,We are aware of the issue and are working to resolve it.,POSITIVE,0.9979088306427002,https://uk.finance.yahoo.com/news/environmental-activists-protest-dutch-tata-161726264.html
TATA,Brigadier General Tata most recently performed the duties of Undersecretary of Defense for Policy. Robert Harcourt most recently served as Assistant Secretary of Defense for Policy.,POSITIVE,0.9856477975845337,https://finance.yahoo.com/news/coda-octopus-group-restructures-board-100000239.html
TATA,All images are copyrighted.,NEGATIVE,0.9880996346473694,https://www.google.com/search?q%3Dyahoo%2Bfinance%2BTATA%26tbm%3Dnws%26pccc%3D1
TATA,"India’s second-largest steel producer is seeking to cut emissions. New technologies need to be developed faster, vice president says",NEGATIVE,0.9846248626708984,https://finance.yahoo.com/news/tata-steel-says-won-t-000000371.html
TATA,Opex is a bit of a mystery due to complexities surrounding it - report solves the problem.,POSITIVE,0.8018289804458618,https://finance.yahoo.com/news/telco-opex-analyzer-report-2016-092300545.html
TATA,FirstVision is a platform-as-a-service with APIs that supports orchestration of digital user experience.,POSITIVE,0.9891724586486816,https://finance.yahoo.com/news/tata-motors-finance-elevates-simplifies-063000079.html
TATA,We are aware of the issue and are working to resolve it.,POSITIVE,0.9979088306427002,https://sg.finance.yahoo.com/news/indias-tata-steel-inks-deal-162253858.html
TATA,"Tata Elxsi opens Innovation Hub and nearshore engineering centre in Michigan. The new centre will support EV and green mobility, Software and Digital engineering",POSITIVE,0.9985867738723755,https://finance.yahoo.com/news/tata-elxsi-expands-automotive-smart-091800168.html
TATA,"Tata Sons North America and First Book distribute more than 35,000 books to educators.",POSITIVE,0.9922412633895874,https://finance.yahoo.com/news/tata-sons-north-america-first-120000203.html
